name, address,number,Availability,BGroup
Government Mohan Kumaramangalam Medical College Hospital Blood Bank,"Super Specialty Block, Steel Plant Main Road, Salem","04272 210964,0427 238 3313",YES,O+
Sri Gokulam Hospital Blood Bank,"No. 3/60, Mayanur Road, Salem","0427 2448171, 0427 2448176",NO,O+
Sithi Vinayagar Blood Bank,"No, 1C Vidhyalaya Road, Salem","0427 2312577, 0427 2316440  ",NO,O+
Vinayaga Mission Kirubananda Variar Medical College Hospital Blood Bank,"Sankari Main Road, Chinna Seeragapadi, Salem",0427 3982000,YES,O+
KSM Blood Bank (Run by Maruti Charitable Trust),"245/10 , 5th Cross street, Brindavan Road, Fairlands, Salem 
","0427 2446788,  0427 2445453 ",YES,O+
Salem Blood Bank,"Run by SHHARC Charity Trust, 2A 3rd Agraharam,  (Opposite to Kasiwiswanathar Temple), Salem
",04272 265432,YES,O+
Kurinji Hospital Blood Bank,"Tee Jay salai, Five Roads, Salem
","0427 2433321, 0427 2433300, 0427 2433301, 0427 2433302",YES,O+
Maruti Blood Bank,"Door No. 5, 5/1, Srinivasa Complex, (First Floor) Ram Nagar, Meyyanur, Salem","0427 2444962, 0427 4040110",YES,O+
Sivaramji Blood Bank (Unit of Janaseva Trust),"No 266, Omalur main road","0427 2318003, 0427 2416760",NO,O+
Salem Steel Authority of India Salem Steel Plant,"Mohan Nagar, Salem",0427 2388263,NO,O+
Minu Labs and Blood Bank,"7.A/4, Ramakrishna Road, (Rajaji Road)","0427 2318881, 0427 2332425",NO,O+
S Palaniyandi Mudaliar Memorial Hospital Blood Bank,"No. 29 Cuddalore Road,  Ammapet, Salem
","0427 2244500, 0427 2240394, 0427 2240395 ",NO,O+
Sri Shellapha Hospital Blood Bank,"239, Rajaram  Nagar, Near Gandhi Stadium, Salem
","0427 2421266, 0427 2421277",NO,O+
M/S SKS Hospital Blood Bank ( Unit of SKS Hospital (I) Private Limited),"No 50/2, First Floor, Brindavan Road, Alagapuram",,,O+
KaraiKudi Blood Centre (Run by Vivekananda Trust),"1st Floor, No.24/7, Ayyanar Puram 2nd Street",04565 401644,NO,O+
Government Sivagangai Medical College Hospital Blood Bank,"Vanieyankudi, Sivagangai
",04575 246356,YES,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Karaikudi, Sivagangai District
",04565 221782,NO,O+
Sri Kaali Blood Bank,"No. 165A Gandhi Adigal Salai, Kumbakonam,  Tamil Nadu ",0435 242 6037,NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Dr. Moorthy Road, Kumbakonam",0435 2425104,NO,O+
Government Hospital Blood Bank,"Palaniappan St.Nadimuthu Nagar, Pattukkottai, ",04373 252080,NO,O+
Thanjavur Medical College Hospital Blood Bank,"Thanjavur Medical College Hospital, Thanjavur","04362 246452, 04362 240951, 04362 240124",YES,O+
Sri Kaali Blood Bank,"No. 32 Thirunagar, Thanjavur",0435 2426037,YES,O+
Voluntary Blood Bank,"No. 2936 West Main Road, Thanjavur",,NO,O+
KMR Blood Bank (Run by KMR Charitable Trust),"113A, (First Floor) Arulandha Nagar 7th Cross, Thanjavur",,NO,O+
Government Raja Mirasudar Hospital,"Government Raja Mirasudar Hospital, Thanjavur",04362 276880,NO,O+
Ambigai Blood Bank,"No, 1877/1 West Main Road, Thanjavur","04362 239032, 04362 32525",NO,O+
Lakshminarayana Blood Bank,"No. 190 ,11 th cross,  Arulananda Ammal Nagar",04362 255485 ,NO,O+
Indian Red Cross Society Blood Bank,"Indian Red Cross Society, 43/C, Al - Seraj Building, Medical College Road","04362 273456, 04362 273456, 04362  278333",NO,O+
Meenakshi Hospital Blood Bank,"SF No.244/2, 3rd Floor, Nilagiri Therkku Thottam Village,  Near New Bus Stand, Trichy Main Road, Tanjore
",0436 2226474,YES,O+
Government Lawley Hospital Blood Bank,"Government Lawley Hospital, Coonoor",0423 2231050,NO,O+
Government Taluk Hospital Blood Bank,"Government Taluk Hospital, Gudalur",04262 261222,NO,O+
Gudalur Adivasi Hospital Blood Bank (Previously named as Ashwini hospital & under Ashwini trust),"0/147 G7, Kothervayal, Gudalur, Kothervayal, Ashwini Hospital Road
",0426 2261645,NO,O+
"Government Head Quarters Hospital, Ooty","Ooty,Nilgiris",,,O+
Government Head quarters Hospital,"Government Head quarters Hospital,Udagamandalam",0423 2446146,NO,O+
Military Hospital Blood Bank,"Military Hospital, Wellington",0423 2200154,NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Thenkarai, Periyakulam",04546 231292,NO,O+
Government Theni Medical College Hospital Blood Bank,"Government  Theni Medical College, Kanavilaku, Madurai Road, Theni",04546 294053,YES,O+
Vikram Clinical Blood Bank,"No. 409, Periakulam Road, Theni",0452 322282,NO,O+
Government Head Quarters Hospital Blood Bank,"Government  Thiruvallur Head Quarters Hospital, JN Road, Thiruvallurï¿½",044 27664849,NO,O+
Government Medical College and Hospital Blood Bank,"The Medical Officer,  Government  Medical College & Hospital, Collectrate Campus, Vilamal, Thiruvarur",04366 222204,NO,O+
Sri Venkateswara Hospital Blood Bank,"No.16, Kamalayam West Bank, Tiruvarur","04366 242866, 04366 243143",NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Kovilpatti, Thoothukudi",04632 223106,NO,O+
Sudiksha Prabhu Hospital Blood Bank and Research Centre,"59,60, Chokkan Urani Street, AKS Theatre Road
V.O.C. Nagar, Kadershan Koil, Kovilpatti","04632 233939, 04632 233828",NO,O+
Aarthi Hospital Blood Bank,"60, Santhaipettai Road, Kovilpatti
",04362 223346,NO,O+
Government Thoothukudi Medical College Hospital Blood Bank,"Palayamkottai Road, Thoothukudi 
",0462 2321052,YES,O+
Tuticorin Blood Bank,"No. 67/70, 1st Floor, North Car Street, Tuticorin",0461 4200666,NO,O+
Rajesh Tilak Hospital Blood Bank,"Door No 107J/79/53, PC Road, First floor, Rajesh Tilak Hospital Campus, West Millarpuram, Tuticorin",,,O+
M/S Moses Blood Bank,"No, 24 Teppakulam Street",,,O+
M/S AVM Hospital Blood Bank,"AVM Marimuthy Nadar Trust AVM associates Private Limited, 
No. 135 Palayamkottai Road, Tuticorin",,,O+
Southern Railway Hospital Blood Bank,"Gold Rock, Railway colony",0431 249 0708,NO,O+
Bharath Heavy Electricals Limited Hospital Blood Bank,"BHEL Main Hospital, Bharath Heavy Electricals Limited, Thiruverumbur, Trichy",0431 2571810,NO,O+
Mahathma Gandhi Memorial Government Hospital Blood Bank,"(Attached with KAP Vishwanathan Medical College) Mahathma Gandhi Memorial Government Hospital, EVR Road, Puthur, Trichy",0431 2770047,YES,O+
KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals),"No. 6 Royal Road, Cantonment, Trichy ","0431 4077777, (Ex.2508)",YES,O+
Bharath Blood Bank  ,"No, 15A Rishi Complex, II Floor,  Main Road, Thillainagar ","0431 2760995, 0431 2760226",NO,O+
Friends Blood Bank,"No. 7C Williams Road, Contonment ",0431 2460646,NO,O+
Victory Blood Bank,"No.95 Salai Road, Woraiyur, Trichy",0431 2768588,NO,O+
Doctors Blood Bank and Research Centre ,"Doctors Blood Bank and Reseach Centre (Run by DDC Charitable Trust), 123/1, Puthur Main Road, Woraiyur",0431 274004,NO,O+
Chennai Medical College Hospital and Research Centre,"SRM Medical College, Irungallar, Manachanallur, Trichy",0431 4298925,YES,O+
Government Headquarters Hospital Blood Bank,"Government  Head Quarters Hospital, Viralimalai Road, Manapparai",0432 260760,NO,O+
Church of South India Mission General Hospital Blood Bank,"Woraiyur, Tiruchirappalli","0431 2761927, 0431 2762879, 0431 2760672, Ext. 423",NO,O+
Child Jesus Hospital Blood Bank,"Next to All India Radio, Promenade Road, Cantonment, Tiruchirappalli","0431 2415816, 0431 2410816",NO,O+
Blood Bank of Shavana,"13/333 First floor, Keelpagam Trichy Main Road, Manaparai",0431 2750321,NO,O+
M/S Apollo Speciality Hospitals Blood Bank,"2nd floor, Chennai By - Pass Road,  Ariyamangalam,
Old Palpannai ",,,O+
Government Hospital Blood Bank,"Goverment Hospital, Ambasamudram",04634 253480,NO,O+
Bethel Blood Bank,"No. 17 Thiruchendur  Road, Palayamkottai","0462 2574775, 0462 2585258, 0462 2575258",NO,O+
Government Hospital Blood Bank,"Government Hospital, Katcheri Road, Sankaran Kovil
",04636 222399,NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Tenkasi",04633 280138,NO,O+
Shifa Hospitals Blood Bank,"No. 82 Kailasapuram Middle Street, IIIrd Floor, Thirunelveli Junction, Thirunelveli","0462 2323041, 0462 2323044, 0462 2333245",NO,O+
Tirunelveli Medical College Hospital Blood Bank,"Tirunelveli Medical College Hospital, Tirunelveli","0462 2576878, 0462 2572615",YES,O+
Kartheek Nursing Home Blood Bank,"Complex No. 37 (STC Road) Perumal Puram 7th Street, Thirunelveli","0462 2530409,  0462 2530410,  0462 2531777",YES,O+
Life Line Blood Bank Component and Research Centre ,"Run by Subashtika Charitable Society, 3rd Floor, Sri Sudharsan Hospital, No.4, Salai Street, Vannarpettai",0462 4560430,YES,O+
Aarthi Hospital and Diagnostic Centre Blood Bank,"No. 177/A-22/2, Trivandrum High Road Vannarapettai, Tirunelveli","0462 2501363, 0462 221346",NO,O+
Galaxy Hospital Blood Bank,"North Bye Pass Road, Vannerpettai, Tirunelveli
","0462 2501951, 0462 2501955",NO,O+
Sardar Raja Mission Hospital Blood Bank,"Tirurajapuram, Kavalkinaru Junction",04637 231905,NO,O+
M/S Annai Blood Bank,"M/S Annai Blood Bank (Run by Annai Medical Trust), No. 67 Pappu Sahib Complex,Melamuthuraman koil Street, Tenkasi",,,O+
Government Hospital Blood Bank,"Government  Hospital, Park Road, Near Taluk Office, Dharapuram",04258 220226,NO,O+
Revathy Medical Centre Blood Bank,"No 10, CKP Layout 4th Floor, Valayankadu Main Road, Kumar Nagar (West) Avinashi Road, Tiruppur",0421 4332211,YES,O+
DSK Hospital Blood Bank,"9 Kathir Nagar, Kangayam Main Road, Kathir Layout Road, Sathyamurthy Nagar, Tiruppur","0421 2422434, 0421 2421350",NO,O+
Sri Kumaran Hospital Blood Bank,"No. 774 A-DPN Road, Near Bus Stand",0421 4330000,NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Dharapuram Road, Tiruppur ",0421 2423400,YES,O+
Government Hospital Blood Bank,"Government Hospital, VOC Street, Udumalpet",04252 220092,NO,O+
Udumalpet Indian Medical Association Rotary Blood Bank,"UKP-IMA Building, K.P.N. Nagar Gandhinagar Post, Udumalpet",04252 226458,NO,O+
Government Medical College Hospital Blood Bank,"Government Thiruvannamalai Medical College Hospital, Thiruvannamalai",04175 223585,NO,O+
ST Thomas Hospital Blood Bank and Leprosy Centre,"Chettupattu, Polur Road, Tiruvannamalai",04181 252263,NO,O+
Government Medical College Hospital Blood Bank,"Arni Road, Arani Road, Opposite Staff Quarters, Adukkamparai, Vellore",04162 263900,YES,O+
Government Hospital Blood Bank,"Government Hospital, Nethaji Road, Ambur",04174 244656,NO,O+
Bethesda Hospital Blood Bank,"Mission Compound, Post Box No 56,  Ambur",04174 242131,NO,O+
Government Hospital Blood Bank Arakonam,"Arakonam, Vellore",,,O+
Government Hospital Blood Bank,"Government Hospital, Gudiyatham",04171 221100,NO,O+
Government Head Quarters Hospital Blood Bank,"Government Hospital, Railway Station Road, Achamangalam, Tirupattur",04179 220080,NO,O+
Government Hospital Blood Bank,"Government Hospital, Vaniyambadi",04174 225700,NO,O+
CMC Hospital Blood Bank,"IDA Scudder Road, Vellore, Tamil Nadu ","0416 2222102,0416 2282010",YES,O+
Masonic Blood Bank,"W/BRO V Surendranath Reddy Memorial Trust ,No. 5/2 New Katpadi Road, Opposite to Hotal River view, Vellore","0416 2220717, 0416 2223024",YES,O+
Sri Narayani Hospital and Research Centre Blood Bank,"Sripuram, Thirumalaikodi, Vellore, Tamil Nadu ","0416 2206300,0416 2271202, 0416 2271844, 0416 2271584",NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Walaja",04172 232538,NO,O+
Government Head Quarters Hospital Blood Bank,"Government Hospital, Kachirapalayam Road, Kallakurichi",04151 222527,NO,O+
Melmaruvathur Adiparasakthi Institute of Medical Sciences and Research Blood Bank,"A unit of Adiparasuthi Charitable Medical Eductional Cultural Trust, Melmaruvathur, Kancheepuram","044 27528302, 044 27528303, 044 27528304",YES,O+
Government Hospital Blood Bank,"Government Hospital, Hospital Road, Dindivanam
",04147 222250,NO,O+
St Joseph Hospital Blood Bank,"Police line, Jayapuram, Tindivanam 
",04147 226363,NO,O+
Government Hospital Blood Bank,"Government Hospital, Ulundurpettai",04149 222201,NO,O+
Balaji KMR Charitable Trust Blood Bank,"27/B5, Trichy Trunk Road",04142 51666,NO,O+
Government Villupuram Medical College and Hospital Blood Bank,"Government  Villupuram Medical College and Hospital, Mundiyambakkam, Villupuram",04146 232101,NO,O+
GN Blood Bank," Run by GG Educational and Charitable Trust, 7-C, Chairman Chidambaram Street, Villupuram",04146 225545,NO,O+
Government Hospital Blood Bank,"Pandalkudi Road, Near Vellai Kottai, Aruppukottai
",04566 220264,NO,O+
Government Hospital Blood Bank,Government Hospital,04563 221301,NO,O+
Sai Blood Bank and Clinical Laboratory,"No, 114 Chidambaranar Street, Sankaran Koil Road","04563 230516, 04563 221516",NO,O+
Sri PAC Ramasamy Raja Rotary Blood Bank (Run by Rajapalayam rotary),"Old No :1069, New No : 170, Madurai to Tenkasi Road",04563 226625,,O+
Government Hospital Blood Bank,"Government Hospital, Parasakthi colony, Near Sivakasi railway station, Shield Road",04562 220301,NO,O+
Sri Annai Blood Bank,"Run by Nestle Foundation Trust, S.No. 49/8B 49/8C ward E Block No. 6., Door No. 56 J2 Chairman A. Shanmuga Nadar Road",04562 222956,,O+
Virudhunagar Hindu Nadar V Dhanasamy Parimala Devi Medical Trust Blood Bank,"No, 38 North Car Street","04562 243060, 04562 245607, 04562 244282",NO,O+
Government Head Quarters Hospital Blood Bank,"Government Head Quarters Hospital, Ramamoorthy Road, Virudhunagar",04562 244425,NO,O+
Rajiv Gandhi Institute of Medical Sciences Blood Bank,"Teachers Colony, Near State Bank of Hyderabad, Ground Floor, IP Block, Govt. District Head Quarters Hopsital Premises",8732224108,YES,O+
Sri Lakshmi Blood bank,"D.No.4-5-29/5, Sri Sai Maternity Hospital, Near Rly. Gate, Bhokthapur",8732230777,NO,O+
Indian Red Cross Society Blood Bank," Ground Floor, Area Hospital, I.B Chaurastha","08736259259, 08736252259",YES,O+
Singareni Collieries Co. Ltd Blood bank,"Sector-1, Area Hospital, Ramakrishnapur, Mandamarri (M), Bellampalli",08736-228677 ext No -328,NO,O+
Indian Red Cross Society Blood Bank,"Area Hospital, Gajulpet Road
near A1 Function Hall",9440387455,YES,O+
The Singareni Collieries Co. Ltd,"Area Hospital Blood Bank, Ramakrishnapuram",08736 228677,,O+
Prime Hospital Blood Bank,"Plot No.4, Behind Mythrivanam Building, Ameerpet",040 44569973,,O+
Image Hospital Blood Bank ,"A Division of Image Healthcare Limited,1st Floor, Image House, 8-3-903/F/12&1, Ameerpet",040 23755555,,O+
Challa Hospital Blood Bank (A Multi Speciality Hospital),"D.No. 7-1-71/A/1, 1st Floor, Dharam Karam Road, Ameerpet",040 23731215,YES,O+
Aarohi Blood Bank,"No.6-3-182/1 to 3, 3rd Floor, 
Lake View Palace, 
Road No.1, Banjara Hills
","040 23384212	",YES,O+
Institute of Transfusion Medicine and Research,"Road.No.1, Banjara Hills",040 23328956,,O+
NTR Trust Blood Bank,"D.No. 8-2-269/H/191/A/1, NTR Trust Bhavan, Road No. 2, Banjara Hills
",040 30799999,YES,O+
Care Hospital Blood Bank,"1st Floor, Road No.1, Banjara Hills",040 30418296,NO,O+
 Star Hospitals Blood Bank," A unit of Unimed Healthcare Private Limited, 6th floor,8-2-596/ Road No : 10, Banjara Hills",040 44777777 EXT: 603,NO,O+
Basavatarakam Indo-American Cancer Hospital and Research Institute Blood Bank,"Block.No. III, Cellar Portion,Road No.14, Banjara Hills",040 23551235,,O+
Mythri Charitable Trust Blood Bank and Transfusion Centre,"3-4-808 1st Floor, Barkatpura, Bs C C Shroff Hospital, Barkatpura, Hyderabad, Telangana
","040 27550238, 040 66822271",YES,O+
Sanjeevini Blood Bank,"Sanjeevini Non-Governmental Organisation, Niveditha Orthopaedic Center, H.No.1-1-79/A, RTC Cross Road, Bhagyanagar, Hyderabad","040 27667500, 040 65522343",YES,O+
Sai Vani Super Speciality Hospital Blood Bank ,"A Unit of Viswa Health Institute Private Limited, D.No.1-2-365/36/6&7, 6th Floor, Ramakrishna Math Road, Domalguda, Hyderabad",,,O+
The Military Hospital Blood Bank,"Military Hospital Premises, Golconda",040 27792580,,O+
Rudhira Voluntary Blood Bank," H.No.3-6-10/A,1st floor, Anasuya Commercial Complex, Liberty Road, Himayathnagar",040 23220222,YES,O+
Satya Nursing Home Blood Bank,"D.No. 3-6-426, First Floor, Street No. 4, Himayatnagar, Hyderabad, Hyderabad District, Telangana
",040 66753026,YES,O+
Nizams Institute of Medical Sciences Blood Bank,"Accident and Emergency Block, 2nd Floor, Road.No.1, Banjara Hills",040 23489722,YES,O+
The Osmania General Hospital Blood Bank," Osmania General Hospital Premises, Hyderabad",040 24600146,YES,O+
MNJ  Institute of Oncology and Regional Cancer Centre Blood Bank,"Ground Floor, Lakdikapool, Red Hills
","040 23397000, 040 23318424",NO,O+
General Chest Hospital,"Blood Bank Medical Officer,  Blood Bank, General and Chest Hospital, Irrumnuma, Hyderabad",040-23814939,,O+
Lions Club of Hyderabad(East) Bhanji Kheraj Blood Bank,"Feroz Gandhi Park,  Bank Street, Koti, Hyderabad",040 24745243,,O+
Blood Bank Thelasemia and Sickle Cell,"Blood Bank Medical Officer, Blood Bank Thelasemia and Sick Cell, Hyderabad",N/A,,O+
Andhra Mahila Sabha Durgabhai Deshmukh Hospital & Blood Bank,"Osmania University Road, Ram Nagar Gundu, Adikmet, Hyderabad, Telangana 
","040 27656969, 040 27681158",YES,O+
Share Medical Care (Mediciti Hospital) Blood Bank,"D.No. 5-9-22/B/103, Flat No.103, First Floor, My Home Sarovar Complex, Secretariat Road",040 23231111,YES,O+
Mahavir Hospital and Research Centre Blood Bank,"D.No. 10-1-1, Ground Floor, Bhagwan Mahavir Marg, A.C. Guards, Masab Tank",040 23497377,,O+
Aditya Hospital Blood Bank,"4-3-154/3, Beside Pragati College, Hanuman Tekdi, Abids, Hyderabad.
",040 24763565,YES,O+
Himabindhu Multispeciality Hospital Blood Bank,"H.No. 17-1-383/1/1, 1st Floor, Vinay Nagar, Sagar Road, Santhosh Nagar",040 64558828  ,YES,O+
Genetic Products Charitable Association Blood Bank,"D.No. 6-3-663/915, G-Block, Ground Floor, Kanthi Shikara Complex, Punjagutta","040 23411658, 040 23403882",YES,O+
Thalassemia and Sickle Cell Society Vuppala Venkaiah Memorial Blood Bank,"D.No.22-8-496 to 501, 1st and 2nd floor, Chatta Bazar X Road, Near City Civil Courts, Purana Haveli, Hyderabad
",040 24403783,YES,O+
NEW LIFE EDUCATIONAL SOCIETY BLOOD BANK ,"22-1-1038,1st FLOOR,ABID ALI KHAN LIONS EYE HOSPITAL,DARULSHIFA, Hyderabad, TELANGANA","040 24575757, 040 64558864",YES,O+
Apollo Hospital Blood Bank,"Apollo hospital, Ground floor, Jubilee hills, Hyderabad
","040 23607777, Ext: 2604",YES,O+
Employees State Insurance Corporation Medical College Hospital Blood Bank,"Second Floor, Radiology Block, Sanath nagar, Hyderabad",040 67872049,YES,O+
Venus Hospital Blood Bank,"H.No.16-2-661/EFGH, Judges Colony, Malakpet, Hyderabad",040 24650776,,O+
Yashoda Super Speciality Hospitals Blood Bank,"D.No. 6-3-903/A/4/F-3, 2nd floor, Shirdi Apartments,
Somajiguda",040 23319999,YES,O+
Apollo Hospital Enterprises Ltd,"D.No.3/5/836 to 838, main road, hyderguda, hyderabad.
",040 23231380,NO,O+
Lions Club Matadin Goel Blood Bank,"Blood Bank Medical Officer,  Lions Club Matadin Goel Blood Bank, Himayatnagar, Hyderabad,",040 23226624,,O+
Chiranjeevi Blood Bank,"Road No.1, Jubliee Hills checkpost","040 23555005, 040 23554849",YES,O+
Owaisi Medical and Research Centre," Nawab Lutfud Dowli Palace,  Kanchanbagh, Zafargadh,Santoshnagar,Hyderabad
","040 64638871, 040 24343129, 040 24323723",YES,O+
"Apollo Hospital Enterprises Ltd, Apollo DRDO Hospital Blood Bank","D.No.18-14, Ground Floor, DMRL X Roads, Kanchanbagh, Hyderabad",040 24342222,,O+
Kamineni Health Services Pvt.Ltd. Blood Bank,"D.No. 4-1-1227, Cellar Portion, Boggulakunta, Kingkoti, Hyderguda, Hyderabad District, Telangana
","040 66924030, 040 66924444",NO,O+
The Government  Maternity Hospital,"Blood bank,  Sultan Bazar, Koti, Hyderabad",040 23305967,NO,O+
Global Hospital Blood Bank,"D.No.6-1-1070/1 to 4, Lakdikapool","040 23244444, 040 30644444",YES,O+
Sri Balaji Blood Bank (A Unit of Sri Balaji Educational Society),"Cellar Portion, 16-8-923, Nalgonda X Road, Malakpet, Hyderabad",040 64522466,YES,O+
Vivekananda Environmental International Society Social Service Blood Bank,"12-2-790/53/1, Ground and First Floor, Ayodhyanagar, Mehdipatnam",040 64606048,,O+
Premier Hospital Blood Bank,"12-2-718, Nanal Nagar X Roads, Mehdipatnam, Hyderabad",040 23774469,YES,O+
Jaya Diagnostic Research Centre Medwin Hospital Blood Bank,"6th Floor, 100, Raghava Ratna Towers, D.No. 5-8-316 to 322, Chiragali Lane, Nampally",040 66516502,,O+
Care Hospital Blood Bank (A Unit of Quality Care India Limited),"Third Floor, 5-4-199, 3rd Floor, J.N. Road, Nampally",040 30417445,,O+
Institute of Preventive Medicine,"Public Health Laboratories and Food (Health) Administration, Narayanaguda, Hyderabad",040 27557733,YES,O+
M G M H BLOOD BANK (Government Modern Maternity Hospital),"Government Modern Maternity Hospital, Opp City College, Petlaburz, Hyderabad
",040 24523641,NO,O+
Rakshita Voluntary Blood Bank," H.No.5-1-931, First Floor, Jambagh, Putlibowli",040 65263309,NO,O+
The Govt. Niloufer Hospital Blood Bank,"Premises of Government Niloufer Hospital, Red Hills, Nampally
","040 23314075, Ext : 287",NO,O+
"Health, Agriculture, Rural Development Society (HARD)  Blood Bank","No.11-5-263/3, Red Hills, Hyderabad","040 23300859, 040 23300959",YES,O+
The ESI Hospital Blood Bank," ESI Hospital premises, Ground Floor, Sanathnagar","040 23701232, 040 23701233",,O+
St. Theresa&#39;s Hospital Blood Bank,"Erragadda, Sanath Nagar, Hyderabad","040 23802255, 040 23812288",YES,O+
Gandhi Hospital Blood Bank,"1st Floor, A block, Musheerabad, Secunderabad, Telangana
",040 27505566,YES,O+
Lions Club of Secunderabad Twin Cities,"2nd Floor, Varalaxmi Complex, Opposite Stay Inn Hotel, James Street, M.G.Road, Secunderabad",040 32411317,,O+
Yashoda Hospital (A Unit of Datta Chandra Hospital Pvt. Ltd.)  Blood Bank," 1-1-156/157, 9th Floor, Alexander Road, Secunderabad, Telangana
","040 23319999, 040 24555555, 040 27713333",YES,O+
South Central Railway Hospital,"Lalaguda, Secunderabad",040 27789173,,O+
Andrha Pradesh State Road Transport Corporation Hospital Blood Bank,"Ground Floor, Room.No. 18&19, APSRTC Hospital Pemises, Tarnaka, Secunderabad","040 27018691, 040 27003695",,O+
Vivekananda Environmental International Society Social Service Blood Bank,"H.No.9-1-127/D/1, Opposite St.Mary&#39;s Church, S.D.Road, Secunderabad",040 64505032,NO,O+
Janani Voluntary Blood Bank (A Unit of Janani Organization)," D.No.9-1-66/3, 2nd Floor, Lane Opposite Oriental Bank, S.D.Road, Secunderabad",040 65603222,YES,O+
Military Hospital Blood Bank,"Military Hospital premises Trimulgherry, Secunderabad",040 27886559,,O+
Krishna Institute of Medical Sciences Blood Bank,"D.No.1-8-31/1, Block-III, 2nd Floor, Minister Road, Secretariat, Secunderabad
","040 44186253 , 040 44186255",YES,O+
Jeevadhara Voluntary Blood Bank (A Unit of Jeevadhaara Society),"H.No.9-4-269 to 275, Saluja Hospital, Second Floor, Rezimental Bazar, Secunderabad","040 65996696, 040 27707088",YES,O+
Sunshine Hospital Blood Bank,"No.1-7-201- to 205, II Floor, P.G.Road, Behind Paradise  Hotel,  Secunderabad","040 64643345, 040 43444546",YES,O+
Sri Devi Charitable Trust Blood Bank,"D. No.: 12-13-197, Flat No. 106 & 107, Opposite HUDA Complex, Tarnaka, Secunderabad",040 27016016,YES,O+
Princess Esra Hospital Blood Bank,"Second Floor, 23-2-665, Shah Ali Banda",040 65875989,NO,O+
Asian Institute of Gastroentrology Blood Bank,"6-3-661, Somajiguda, Hyderabad",040 23378888,,O+
RTC Hospital,"RTC Hospital Blood Bank, Tarnaka, Hyderabad",040-27018691,NO,O+
Indian Red Cross Society Blood Bank,"1-9-310, Street No:14, Opposite Achyutha Reddy Complex,  Vidya Nagar Hyderabad
",040 27633087,YES,O+
Chalmeda Ananda Rao Institute of Medical Sciences Blood Bank,"Block C, Ground Floor, Bommakal (V), Karimnagar","0878 2285565, 0878 2285318",YES,O+
Singareni Collieries Co.Ltd Blood Bank,"Area Hospital Blood Bank, Ram Mandir, Godavarikhani",08728-244362,NO,O+
Nelavelly Blood Bank,"(A Unit Of Nelavelly Laxma Rao Social Service Charitable Trust)
Door No:7-1-236, Santoshnagar, Opposite SKNR Women Degree College",8724230333,NO,O+
"Indian Red Cross Society Jagityal, Blood Bank","District Headquarters Hospital JAGTIAL 
First Floor, Old Bus Stand",9441290111,YES,O+
Government District Head Quarters Hospital Blood Bank,"Savaran Street, Manchiryal Chowrastha","0878 2240223, 0878 2240337",YES,O+
Indian Red Cross Society Blood Bank,"D.No.4-1-22, Osmanpura, 
Opp to Andhra Bank Main Branch",0878 6451199,,O+
Life Care Voluntary Blood Bank,"D.No.3-1-446, 1st Floor, Opposite Government Hospital, Prashanth Nagar",,YES,O+
Prathima Institute of Medical Sciences Blood Bank,"1st Floor, Hospital Building, Nagnur","0878 2216500, 08782216555, 08782216380/81",YES,O+
Apollo Reach Hospitals - Apollo Blood Bank,"H.No.4-72, 3rd Floor, Subhash Nagar, 
Near Railway station
",0878 2200000,YES,O+
The Government Area Hospital Blood Bank,"Bhadrachalam, Bhadradri Kothagudem",,YES,O+
The APVVP District Head Quarters Hospital Blood Bank,"1st Floor, Room.No.31, O.P. Block, Wyra Road, Khammam",08742 224815,,O+
Rudhira Voluntary Blood Bank,"(A Unit of Rudhira Health Organization), H.No.11-4-25/A, 1st & 2nd Floor, Wyra Road, Khammam",08742 220666,YES,O+
Mamata General Hospital Blood Bank,"D. No: 5-7-200, Giriprasad Nagar Pakabanda Bazar, Khammam",08742 230864,,O+
Siva Multi Speciality Hospital Blood Bank,"H.No.11-2-44, Balaji Nagar, Wyra Road, Khammam",08742 231883,YES,O+
The Government Area Hospital Blood Bank,"Kothagudem, Khammam",,,O+
The Singareni Collieries  Co. Ltd,"Hospital Blood Bank, Main Hospital, Kothagudem, Khammam",N/A,,O+
Sarala Blood Bank ,"A Unit of Sarala Memorial Charitable Chartitable Trust, D.No. 5-13-7, 2nd Floor, M.G. Road, Kothagudem, Khammam",NA,NO,O+
Singareni Collieries Co. Ltd,"Blood Bank Medical Officer,  Blood Bank, Singareni Collieries Co. Ltd, Manuguru, Dist. Khammam, Mobile no:9491145024",N/A,,O+
Asha Emergency & Chest Hospital Blood Bank,"D. No.: 4-851/1, Opposite Bus Stand, Kalabharathi Road, Sattupally, Khammam
",8790276999,NO,O+
Singareni Collieries Co. Ltd,"Singareni Collieries Co. Ltd Blood Bank, Yellandu, District Khammam.",N/A,NO,O+
